team,league,country,analysis_status,strengths,risks_and_weaknesses,decision_notes,last_updated,confidence
Kasımpaşa,Süper Lig,Türkiye,aktif,"Skoru bulduktan sonra maçı kilitleme ve direnç gösterme; zorlu rakiplere karşı sonuç kovalamaya yatkın","Oyun üstünlüğü her maçta yüksek olmayabilir","Çorum deplasmanında erken golü koruyarak 1-0 kazandı. Güçlü/dirençli rakiplere karşı küçümsenmemeli.",2026-08-24,orta-yüksek
Eyüpspor,Süper Lig,Türkiye,aktif,"Potansiyel hücum gücü","Gaziantep karşısında 10 kişilik rakibe rağmen gol bulamadı; belirsiz maçlarda tek 1 riski yüksek","Genişte 1X2 görülen maç dar kuponda tek 1'e indirilmiş ve kaybedilmişti; Eyüp maçlarında agresif tekten kaçın.",2026-08-24,orta
Gaziantep FK,Süper Lig,Türkiye,aktif,"Skoru koruma ve direnç; eksik kalınca dahi savunma yapabilme","Hücum üretkenliği dalgalı olabilir","Eyüp deplasmanında 1-0 kazandı ve son bölümde 10 kişiyle skoru korudu. Deplasmanda hafife alınmamalı.",2026-08-24,orta-yüksek
Corendon Alanyaspor,Süper Lig,Türkiye,aktif,"Beşiktaş'a karşı olumlu eşleşme geçmişi; iç sahada direnç","Genel güç seviyesi için daha fazla örnek gerekli","Beşiktaş'ı 1-0 yendi. H2H verisi takım karakteriyle aynı yöndeyse koruma sebebi sayılmalı.",2026-08-24,orta-yüksek
Göztepe,Süper Lig,Türkiye,aktif,"İç saha enerjisi ve fırsat üretme potansiyeli","Bitiricilik dalgalı; ev sahibi olması tek başına banko gerekçesi değil","Gençlerbirliği'ne 0-1 kaybetti; penaltı kaçırdı. İç saha otomatik favori yaklaşımı uygulanmamalı.",2026-08-24,orta
Gençlerbirliği,Süper Lig,Türkiye,aktif,"Üst üste güçlü sonuçlar; rakip hatalarını değerlendirme ve deplasmanda sonuç alma","Erken sezon örneklemi hâlâ sınırlı","Fenerbahçe galibiyetinden sonra Göztepe deplasmanında da kazandı. Tek maçlık sürpriz etiketi kaldırıldı; güç puanı yukarı çekildi.",2026-08-24,yüksek
Kocaelispor,Süper Lig,Türkiye,aktif,"İç sahada sonuç alma; mücadele gücü","Oyun yapısı ve hücum kalitesi için daha fazla gözlem gerekli","Amed karşısında 1-0 kazandı; kupondaki tek 1 tuttu. Şimdilik nötr-pozitif izleme.",2026-08-24,orta
Amed Sportif Faaliyetler,Süper Lig,Türkiye,aktif,"Enerjik ve dikine oyun; hızlı hücum arayışı","Teknik/taktik yapı sınırlı görünebilir; oyun fazla direktleşebilir","Kocaeli maçında iki takım da orta sahayı hızlı geçip dikine oynadı; 0-1 kaybetti. Yüksek tempo ama kontrol seviyesi ayrıca izlenmeli.",2026-08-24,orta
Borussia Dortmund,Bundesliga,Almanya,aktif,"Hücum tehdidi ve büyük maç rekabet seviyesi","Bayern karşısında savunma kırılganlığı; favori olmayan büyük maçlarda tek tercih riskli","Bayern maçında X2 koruması doğru çıktı; 1-2 kaybetti.",2026-08-24,orta
Bayern Münih,Bundesliga,Almanya,aktif,"Büyük maçlarda kalite ve bitiricilik","Dortmund gibi rakiplere karşı maç içinde geri dönüş/denge riski","Dortmund deplasmanında 2 kazandı; X2 yaklaşımı güvenliydi.",2026-08-24,orta-yüksek
Marsilya,Ligue 1,Fransa,aktif,"Evinde güçlü hücum ve skor üretme","Daha zorlu rakiplere karşı ayrıca teyit gerekli","Strasbourg'u 4-0 yendi; ev sahibi 1 tercihi net doğru çalıştı.",2026-08-24,orta-yüksek
Strasbourg,Ligue 1,Fransa,izleme,"Yeterli olumlu yeni gözlem yok","Marsilya deplasmanında ciddi savunma zafiyeti","0-4 kaybetti; tek maç üzerinden kalıcı düşük seviye etiketi koyulmamalı.",2026-08-24,düşük
Newcastle United,Premier League,İngiltere,aktif,"İç sahada Liverpool gibi rakiplere karşı ciddi direnç ve skor üretme","Maç sonlarını kapatmakta kırılganlık","Liverpool karşısında 2-2; X2 seçimimizin X tarafını gerçek anlamda tehdit ederek doğruladı. Evinde güçlü rakiplere karşı korunmalı.",2026-08-24,orta-yüksek
Liverpool,Premier League,İngiltere,aktif,"Geri dönüş ve maç sonu reaksiyon kapasitesi","Deplasmanda eksikler ve geçiş savunması nedeniyle tek 2 riski","Newcastle deplasmanında 2-2; tek 2 yerine X2 doğru risk yönetimiydi.",2026-08-24,orta-yüksek
Real Betis,La Liga,İspanya,aktif,"Evinde sonuç alma; kontrollü maçlarda avantaj","Dar skorlar nedeniyle X riski tamamen yok sayılamaz","Real Sociedad'ı 1-0 yendi; 1X yaklaşımı doğru çalıştı.",2026-08-24,orta
Real Sociedad,La Liga,İspanya,izleme,"Rekabetçi yapı","Betis deplasmanında hücum üretimi sınırlı kaldı","0-1 kaybetti; daha fazla maç izlenecek.",2026-08-24,düşük
Atletico Madrid,La Liga,İspanya,aktif,"Ev sahibi gücü ve kalite","Güçlü rakip karşısında tek 1'e aşırı güven riski; maç içinde savunma kırılabilir","Villarreal ile 2-2; geniş 1X doğru, dar tek 1 yanlış oldu. Favori olsa da koruma ihtiyacı yüksek olabilir.",2026-08-24,yüksek
Villarreal,La Liga,İspanya,aktif,"Atletico deplasmanında ciddi hücum tehdidi ve yüksek üretim","Savunma istikrarı ayrıca teyit edilmeli","Atletico deplasmanında 2-2; güçlü favoriye karşı ciddi tehdit üretti. Büyük deplasmanlarda küçümsenmemeli.",2026-08-24,yüksek
Torino,Serie A,İtalya,izleme,"Rekabetçi iç saha potansiyeli","Milan karşısında kalite farkını kapatamadı","Milan'a 1-2 kaybetti; X2 geniş koruması doğruydu.",2026-08-24,düşük-orta
Milan,Serie A,İtalya,aktif,"Deplasmanda kalite ve sonuç alma","Zorlu deplasmanlarda X riski tamamen silinmemeli","Torino deplasmanında 2 kazandı; dar kupondaki tek 2 doğru çalıştı.",2026-08-24,orta-yüksek
